iter	Passed	Remaining
414	2805	3954
415	2819	3958
416	2827	3952
417	2833	3945
418	2835	3931
419	2837	3918
420	2851	3921
421	2856	3912
422	2861	3902
423	2863	3890
424	2866	3878
425	2869	3866
426	2873	3855
427	2875	3843
428	2878	3830
429	2887	3827
430	2891	3817
431	2894	3805
432	2900	3798
433	2908	3793
434	2919	3792
435	2925	3784
436	2929	3774
437	2933	3763
438	2935	3751
439	2938	3739
440	2944	3732
441	2947	3721
442	2949	3708
443	2951	3696
444	2966	3699
445	2969	3688
446	2972	3677
447	2976	3667
448	2978	3654
449	2982	3644
450	2994	3645
451	3005	3644
452	3008	3633
453	3011	3621
454	3024	3623
455	3027	3611
456	3036	3608
457	3039	3597
458	3046	3591
459	3053	3584
460	3056	3574
461	3062	3566
462	3066	3556
463	3070	3546
464	3079	3543
465	3083	3533
466	3086	3522
467	3090	3513
468	3094	3503
469	3098	3493
470	3102	3484
471	3113	3483
472	3116	3472
473	3124	3467
474	3129	3458
475	3147	3464
476	3196	3505
477	3212	3507
478	3228	3511
479	3238	3507
480	3258	3515
481	3273	3517
482	3277	3508
483	3286	3503
484	3289	3492
485	3305	3495
486	3308	3484
487	3318	3481
488	3323	3473
489	3335	3471
490	3338	3461
491	3347	3455
492	3362	3458
493	3367	3448
494	3369	3437
495	3381	3436
496	3388	3429
497	3393	3421
498	3396	3410
499	3399	3399
500	3410	3396
501	3423	3396
502	3428	3387
503	3436	3381
504	3439	3371
505	3441	3360
506	3443	3348
507	3446	3338
508	3450	3328
509	3453	3317
510	3455	3306
511	3457	3295
512	3471	3295
513	3473	3284
514	3476	3273
515	3481	3265
516	3484	3255
517	3487	3245
518	3490	3235
519	3492	3224
520	3498	3216
521	3501	3206
522	3504	3196
523	3507	3185
524	3510	3176
525	3516	3169
526	3520	3159
527	3522	3149
528	3529	3142
529	3532	3132
530	3535	3122
531	3537	3111
532	3540	3102
533	3549	3097
534	3551	3087
535	3554	3077
536	3563	3072
537	3565	3062
538	3568	3051
539	3571	3042
540	3575	3033
541	3578	3023
542	3584	3016
543	3599	3017
544	3611	3015
545	3615	3006
546	3626	3003
547	3628	2992
548	3631	2983
549	3639	2978
550	3641	2967
551	3643	2957
552	3645	2947
553	3647	2936
554	3657	2932
555	3660	2923
556	3663	2913
557	3666	2904
558	3670	2895
559	3676	2888
560	3680	2880
561	3682	2870
562	3691	2865
563	3696	2857
564	3698	2847
565	3704	2840
566	3708	2831
567	3710	2822
568	3715	2814
569	3726	2811
570	3729	2801
571	3732	2792
572	3739	2786
573	3741	2776
574	3743	2767
575	3746	2757
576	3755	2752
577	3759	2745
578	3762	2735
579	3773	2732
580	3779	2725
581	3788	2721
582	3800	2718
583	3804	2709
584	3806	2700
585	3808	2690
586	3810	2681
587	3817	2674
588	3824	2668
589	3827	2659
590	3832	2652
591	3834	2642
592	3836	2633
593	3844	2627
594	3849	2619
595	3851	2610
596	3853	2601
597	3860	2595
598	3864	2587
599	3866	2577
600	3869	2568
601	3875	2562
602	3880	2554
603	3883	2546
604	3886	2537
605	3891	2529
606	3893	2520
607	3896	2512
608	3904	2507
609	3908	2498
610	3910	2489
611	3914	2481
612	3921	2475
613	3924	2466
614	3926	2457
615	3933	2451
616	3940	2446
617	3943	2437
618	3947	2429
619	3951	2422
620	3966	2420
621	3969	2412
622	3971	2403
623	3984	2401
624	3987	2392
625	3989	2383
626	3995	2376
627	3999	2369
628	4003	2361
629	4010	2355
630	4014	2347
631	4016	2338
632	4023	2332
633	4028	2325
634	4031	2317
635	4033	2308
636	4036	2300
637	4041	2292
638	4043	2284
639	4046	2276
640	4051	2269
641	4055	2261
642	4057	2252
643	4059	2244
644	4071	2240
645	4073	2232
646	4076	2223
647	4077	2215
648	4087	2210
649	4089	2202
650	4091	2193
651	4092	2184
652	4102	2179
653	4105	2171
654	4106	2163
655	4108	2154
656	4121	2151
657	4124	2143
658	4129	2136
659	4137	2131
660	4148	2127
661	4156	2122
662	4163	2116
663	4168	2109
664	4178	2104
665	4181	2097
666	4192	2093
667	4195	2085
668	4197	2077
669	4204	2071
670	4208	2063
671	4211	2055
672	4213	2047
673	4215	2038
674	4220	2031
675	4224	2024
676	4236	2021
677	4240	2014
678	4242	2005
679	4245	1997
680	4250	1990
681	4255	1984
682	4257	1976
683	4260	1968
684	4263	1960
685	4268	1953
686	4271	1946
687	4273	1937
688	4275	1929
689	4277	1921
690	4281	1914
691	4284	1906
692	4285	1898
693	4288	1890
694	4290	1882
695	4305	1880
696	4313	1875
697	4320	1869
698	4322	1861
699	4329	1855
700	4333	1848
701	4335	1840
702	4341	1834
703	4352	1829
704	4356	1822
705	4361	1816
706	4365	1809
707	4368	1801
708	4374	1795
709	4377	1787
710	4379	1780
711	4382	1772
712	4392	1767
713	4394	1760
714	4415	1759
715	4425	1755
716	4444	1754
717	4447	1746
718	4454	1740
719	4460	1734
720	4463	1727
721	4472	1722
722	4475	1714
723	4477	1706
724	4479	1699
725	4489	1694
726	4492	1686
727	4501	1681
728	4503	1674
729	4506	1666
730	4509	1659
731	4517	1653
732	4521	1647
733	4525	1639
734	4528	1632
735	4532	1625
736	4537	1619
737	4545	1613
738	4546	1605
739	4548	1597
740	4553	1591
741	4561	1586
742	4563	1578
743	4565	1570
744	4574	1565
745	4576	1558
746	4580	1551
747	4583	1544
748	4588	1537
749	4591	1530
750	4594	1523
751	4599	1516
752	4606	1511
753	4609	1503
754	4611	1496
755	4614	1489
756	4622	1483
757	4624	1476
758	4639	1473
759	4645	1466
760	4658	1463
761	4665	1457
762	4669	1450
763	4671	1442
764	4673	1435
765	4691	1433
766	4701	1428
767	4711	1423
768	4716	1416
769	4718	1409
770	4721	1402
771	4732	1397
772	4734	1390
773	4737	1383
774	4739	1375
775	4751	1371
776	4761	1366
777	4764	1359
778	4766	1352
779	4768	1344
780	4781	1340
781	4783	1333
782	4786	1326
783	4801	1322
784	4808	1316
785	4810	1309
786	4812	1302
787	4815	1295
788	4826	1290
789	4832	1284
790	4838	1278
791	4840	1271
792	4843	1264
793	4845	1257
794	4847	1250
795	4854	1244
796	4862	1238
797	4873	1233
798	4877	1226
799	4880	1220
800	4885	1213
801	4887	1206
802	4889	1199
803	4894	1193
804	4896	1186
805	4903	1180
806	4908	1173
807	4914	1167
808	4917	1161
809	4920	1154
810	4925	1147
811	4933	1142
812	4935	1135
813	4938	1128
814	4940	1121
815	4950	1116
816	4956	1110
817	4961	1103
818	4964	1097
819	4966	1090
820	4972	1084
821	4979	1078
822	4981	1071
823	4984	1064
824	4986	1057
825	4988	1050
826	4996	1045
827	5001	1038
828	5007	1032
829	5010	1026
830	5016	1020
831	5023	1014
832	5026	1007
833	5028	1000
834	5030	994
835	5044	989
836	5050	983
837	5055	977
838	5057	970
839	5064	964
840	5070	958
841	5072	951
842	5074	945
843	5076	938
844	5092	934
